month,naics2d_code,naics2d_name,active_postings_nsa,active_postings_sa
2022-01,00,Unknown/Other,2353611,2451254.4740686165
2022-01,11,"Agriculture, Forestry, Fishing and Hunting",71511,74442.71470075795
2022-01,21,Mining and logging,38242,46020.84904343012
2022-01,22,Utilities,67377,81759.73141741139
2022-01,23,Construction,400261,445636.79743207636
2022-01,31-33,Manufacturing,1842298,2152517.62441816
2022-01,42,Wholesale trade,499281,562576.2918808982
2022-01,44-45,Retail trade,2165591,2448739.0344542554
2022-01,48-49,Transportation and warehousing,586461,707624.5617683833
2022-01,51,Information,2180874,2367006.079266685
2022-01,52-53,Financial activities,1632319,1785943.8293866669
2022-01,54-56,Professional and business services,4989819,5191417.304594899
2022-01,61-62,Education and health services,3854580,4000714.5950813508
2022-01,71-72,Leisure and hospitality,1609043,1648166.3715172359
2022-01,81,Other services,816760,886618.947440111
2022-01,92,Government,646142,675361.0522889984
2022-01,99,Unknown/Other,49795,31557.98727980647
2022-02,00,Unknown/Other,2331166,2432264.4139982173
2022-02,11,"Agriculture, Forestry, Fishing and Hunting",76422,72468.20423880008
2022-02,21,Mining and logging,40164,45959.10953664592
2022-02,22,Utilities,77363,79572.87665432363
2022-02,23,Construction,426194,455048.52341453196
2022-02,31-33,Manufacturing,1971013,2163113.1261444595
2022-02,42,Wholesale trade,517563,560318.8043711145
2022-02,44-45,Retail trade,2183615,2393966.6818649587
2022-02,48-49,Transportation and warehousing,598346,693105.2580432094
2022-02,51,Information,2358156,2264082.291988062
2022-02,52-53,Financial activities,1736906,1847356.8388696737
2022-02,54-56,Professional and business services,5244916,5431041.029600825
2022-02,61-62,Education and health services,3827584,4032265.6847843304
2022-02,71-72,Leisure and hospitality,1592446,1670394.7211523454
2022-02,81,Other services,794828,857988.6324939824
2022-02,92,Government,657756,682908.1652332507
2022-02,99,Unknown/Other,32359,31786.07756453626
2022-03,00,Unknown/Other,2504915,2435726.1109038736
2022-03,11,"Agriculture, Forestry, Fishing and Hunting",76477,70498.94061762819
2022-03,21,Mining and logging,42794,45617.373320168444
2022-03,22,Utilities,77613,81542.86301475842
2022-03,23,Construction,457097,444932.4346033989
2022-03,31-33,Manufacturing,2035930,2056565.8858420022
2022-03,42,Wholesale trade,541872,542911.803149187
2022-03,44-45,Retail trade,2202521,2318276.3463760437
2022-03,48-49,Transportation and warehousing,665564,678853.9889794103
2022-03,51,Information,2383764,2218211.0788505957
2022-03,52-53,Financial activities,1722967,1728457.9580212757
2022-03,54-56,Professional and business services,5344279,5247251.577516797
2022-03,61-62,Education and health services,3920408,3941407.337138179
2022-03,71-72,Leisure and hospitality,1664034,1669370.1822544187
2022-03,81,Other services,821741,830439.4364712221
2022-03,92,Government,695531,692437.086822734
2022-03,99,Unknown/Other,32536,31662.669585909513
2022-04,00,Unknown/Other,2430760,2479005.687037748
2022-04,11,"Agriculture, Forestry, Fishing and Hunting",71645,68885.22144431355
2022-04,21,Mining and logging,42246,44171.19154894148
2022-04,22,Utilities,73704,80775.33747589732
2022-04,23,Construction,453684,451941.23841648834
2022-04,31-33,Manufacturing,1954176,2052637.174390733
2022-04,42,Wholesale trade,528590,538301.9927399971
2022-04,44-45,Retail trade,2063631,2246121.862927348
2022-04,48-49,Transportation and warehousing,600739,664863.202969329
2022-04,51,Information,2215442,2280670.3508394854
2022-04,52-53,Financial activities,1650984,1708522.5370437577
2022-04,54-56,Professional and business services,5163247,5276982.292159051
2022-04,61-62,Education and health services,3697881,3896198.4348385097
2022-04,71-72,Leisure and hospitality,1630738,1665984.4283902368
2022-04,81,Other services,794462,847981.3091354326
2022-04,92,Government,685757,701181.1893161773
2022-04,99,Unknown/Other,32724,31804.483009899268
