soc2d_code,soc2d_name,Oct 2024,Aug 2025,Sep 2025,Oct 2025,Pct change YoY (Oct 2024 - Oct 2025),Pct change (Sep 2025 - Oct 2025)
Total US,,"$70,711","$71,632","$71,986","$71,780",0.015107747566466267,-0.0028730489179353835
0,Occupation not classified,"$48,537","$61,055","$62,827","$64,299",0.32473282124370306,0.023427577405182642
11,Management,"$89,422","$93,183","$94,837","$94,756",0.05965650140183398,-0.0008546610849542446
13,Business and Financial Operations,"$90,035","$90,340","$90,360","$90,922",0.009848437767622675,0.00622024005664823
15,Computer and Mathematical,"$121,062","$117,996","$118,840","$119,038",-0.016718864176651804,0.0016624454620408624
17,Architecture and Engineering,"$104,611","$103,952","$104,300","$104,404",-0.001973784509252785,0.0010015839329482468
19,"Life, Physical, and Social Science","$74,693","$78,351","$78,872","$79,501",0.06436830276964556,0.007973850587288611
21,Community and Social Service,"$68,992","$69,574","$71,988","$70,477",0.021524465196697262,-0.020983550976896193
23,Legal,"$112,552","$114,102","$114,045","$114,186",0.014514910863231867,0.0012334489547101146
25,Educational Instruction and Library,"$60,010","$61,747","$62,110","$62,763",0.045881466032990925,0.010528105161582868
27,"Arts, Design, Entertainment, Sports, and Media","$66,476","$63,851","$65,673","$65,988",-0.0073355042056590936,0.004798283091279165
29,Healthcare Practitioners and Technical,"$101,681","$99,827","$99,556","$99,911",-0.01740226416526791,0.003567311534810713
31,Healthcare Support,"$53,479","$56,625","$58,070","$58,663",0.09692241570704296,0.010212344745244462
33,Protective Service,"$47,175","$49,981","$50,340","$50,667",0.0740230547250047,0.006493184439064548
35,Food Preparation and Serving Related,"$36,765","$36,383","$36,673","$37,204",0.011955219200775247,0.014479308884630226
37,Building and Grounds Cleaning and Maintenance,"$38,649","$39,317","$39,454","$39,948",0.03359600220547043,0.012511781742061245
39,Personal Care and Service,"$42,430","$44,652","$45,209","$45,227",0.06590488957786489,0.00038720402476677407
41,Sales and Related,"$62,496","$66,842","$66,470","$66,877",0.07010292643060745,0.006122471039612165
43,Office and Administrative Support,"$50,172","$49,111","$49,378","$49,727",-0.008877075642840127,0.007074764581001203
45,"Farming, Fishing, and Forestry","$43,370","$43,808","$44,285","$45,264",0.0436685386387643,0.022122561151918685
47,Construction and Extraction,"$61,468","$61,805","$62,355","$62,857",0.02260703616046733,0.008057741365855131
49,"Installation, Maintenance, and Repair","$58,853","$58,763","$59,232","$59,659",0.013694664490810693,0.007209102700423076
51,Production,"$45,783","$46,066","$46,238","$46,812",0.02245629748667577,0.01241646418572806
53,Transportation and Material Moving,"$60,981","$65,244","$65,786","$67,108",0.1004648330380411,0.020092049956404567
